ts_ms,volume,energy_ratio,rel_dist_mm,delta_mm,phase_vel_mm_per_frame,power_thr,avg_power,min_power,max_power,power_pass,freq_used_1st,freq_used_2nd
1773845692201,15,0.000000,0.000000,-5.629802,-5.629802,15000.0,1614276.250,94906.086,5416295.500,10,10,9
1773845692232,15,0.000000,-7.318742,-0.224825,-2.927313,15000.0,2635813.000,182695.406,7216045.000,10,10,6
1773845692251,15,0.000000,-7.611014,-1.361246,-2.405291,15000.0,1361765.750,110681.211,3453573.000,10,10,6
1773845692266,15,0.000000,-9.380634,0.400296,-1.703894,15000.0,2699924.250,211220.531,6616314.500,10,10,7
1773845692277,15,0.000000,-8.860250,0.362174,-1.290681,15000.0,3566095.250,46674.121,15388111.000,10,10,7
1773845692282,15,0.000000,-8.389423,0.352039,-0.094312,15000.0,2098278.250,67265.648,8216585.000,10,10,6
1773845692296,15,0.000000,-7.931773,0.138506,-0.021646,15000.0,1373251.125,69189.313,5294701.500,10,10,6
1773845692314,15,0.000000,-7.751715,0.153245,0.281252,15000.0,1240506.250,20884.139,4906309.000,10,10,6
1773845692325,15,0.000000,-7.552495,0.059207,0.213034,15000.0,1196108.750,12276.173,4642632.000,9,9,7
1773845692346,15,0.000000,-7.475527,-0.003472,0.139905,15000.0,1173349.875,14818.421,4679626.000,9,9,6
1773845692365,15,0.000000,-7.480040,0.015501,0.072597,15000.0,1148889.250,17832.996,4575648.500,10,10,9
1773845692396,15,0.000000,-7.459889,-0.004174,0.044061,15000.0,1142491.250,19387.770,4484051.000,10,10,6
1773845692411,15,0.000000,-7.465316,-0.012972,0.010818,15000.0,1154782.625,21188.506,4478533.000,10,10,6
1773845692431,15,0.000000,-7.482179,-0.041365,-0.009296,15000.0,1047400.313,25093.631,3876495.500,10,10,7
1773845692450,15,0.000000,-7.535954,-0.031150,-0.014832,15000.0,1096127.000,26863.668,4038119.000,10,10,6
1773845692452,15,0.000000,-7.576449,-0.005790,-0.019090,15000.0,1079942.500,27303.742,4276139.500,10,10,6
1773845692471,15,0.000000,-7.583976,0.014522,-0.015351,15000.0,958399.688,27939.787,3201540.250,10,10,8
1773845692495,15,0.000000,-7.565098,-0.046979,-0.022153,15000.0,1024068.563,28190.740,3450945.750,10,10,8
1773845692513,15,0.000000,-7.626171,-0.074511,-0.028782,15000.0,1003741.000,26819.510,3425145.000,10,10,5
1773845692536,15,0.000000,-7.723035,-0.069988,-0.036549,15000.0,959954.125,26864.254,3248609.500,10,10,6
1773845692559,15,0.000000,-7.814020,-0.009540,-0.037299,15000.0,936699.188,14589.020,3094382.250,9,9,7
1773845692577,15,0.000000,-7.826421,-0.000913,-0.040386,15000.0,831701.563,18678.467,1897626.375,10,10,6
1773845692602,15,0.000000,-7.826421,0.023289,-0.026332,15000.0,586879.188,37281.828,1653836.500,10,10,7
1773845692623,15,0.000000,-7.796145,-0.027052,-0.016841,15000.0,481725.000,45569.051,1616634.125,10,10,7
1773845692641,15,0.000000,-7.831313,-0.033205,-0.009484,15000.0,491863.813,45539.754,1676670.875,10,10,5
1773845692665,15,0.000000,-7.874479,-0.044252,-0.016426,15000.0,516330.125,48972.996,1766463.625,10,10,7
1773845692683,15,0.000000,-7.932007,-0.035444,-0.023333,15000.0,532218.813,50865.555,1740591.875,10,10,6
1773845692709,15,0.000000,-7.978084,-0.041200,-0.036231,15000.0,533261.688,50866.238,1641375.375,10,10,8
1773845692727,15,0.000000,-8.031644,-0.042474,-0.039315,15000.0,529618.063,50770.012,1549308.875,10,10,6
1773845692751,15,0.000000,-8.086860,-0.046365,-0.041947,15000.0,538601.188,51415.148,1479527.375,10,10,7
1773845692769,15,0.000000,-8.147134,-0.021788,-0.037454,15000.0,544526.875,51851.176,1368467.750,10,10,7
1773845692770,15,0.000000,-8.175458,-0.019319,-0.034229,15000.0,560505.438,52610.801,1259304.750,10,10,7
1773845692793,15,0.000000,-8.200572,-0.002906,-0.026570,15000.0,570111.063,53606.230,1194626.750,10,10,6
1773845692813,15,0.000000,-8.204350,-0.007841,-0.019644,15000.0,580371.938,55362.766,1320579.250,10,10,8
1773845692837,15,0.000000,-8.214542,-0.007978,-0.011966,15000.0,582095.063,57071.688,1421874.875,10,10,6
1773845692860,15,0.000000,-8.224914,0.014190,-0.004771,15000.0,596184.625,58797.004,1510732.125,10,10,8
1773845692878,15,0.000000,-8.206467,-0.047737,-0.010454,15000.0,611802.938,60848.828,1597542.750,10,10,5
1773845692901,15,0.000000,-8.268525,-0.049000,-0.019673,15000.0,607456.188,61813.191,1476865.375,10,10,6
1773845692918,15,0.000000,-8.332226,-0.040929,-0.026291,15000.0,594917.313,63357.125,1268893.250,10,10,6
1773845692942,15,0.000000,-8.385434,-0.025466,-0.029788,15000.0,591466.625,64370.355,1204918.375,10,10,7
1773845692965,15,0.000000,-8.418539,-0.050338,-0.042694,15000.0,587909.438,64978.723,1220181.875,10,10,6
1773845692983,15,0.000000,-8.483978,-0.062252,-0.045597,15000.0,576911.625,64992.938,1245293.625,10,10,8
1773845693010,15,0.000000,-8.564905,-0.063516,-0.048500,15000.0,564596.563,65398.777,1251421.375,10,10,7
1773845693032,15,0.000000,-8.647475,-0.020227,-0.044360,15000.0,572094.938,65857.188,1269096.125,10,10,8
1773845693050,15,0.000000,-8.673771,-0.007219,-0.040710,15000.0,583509.250,66287.180,1298716.625,10,10,7
1773845693068,15,0.000000,-8.683156,0.030006,-0.024642,15000.0,602696.688,66921.055,1351552.500,10,10,8
1773845693090,15,0.000000,-8.644149,0.029245,-0.006342,15000.0,612366.375,67002.320,1361159.125,10,10,6
1773845693092,15,0.000000,-8.606130,0.022076,0.010776,15000.0,627448.500,67036.898,1395083.625,10,10,7
1773845693109,15,0.000000,-8.577431,-0.007185,0.013385,15000.0,636799.688,66808.922,1418684.750,10,10,7
1773845693132,15,0.000000,-8.586771,-0.015685,0.011691,15000.0,645961.250,67065.750,1452474.750,10,10,7
1773845693156,15,0.000000,-8.607162,-0.008953,0.003900,15000.0,654340.313,66066.500,1473715.875,10,10,9
1773845693179,15,0.000000,-8.618800,-0.003775,-0.002704,15000.0,663042.938,64575.461,1493150.000,10,10,5
1773845693197,15,0.000000,-8.623708,0.021366,-0.002846,15000.0,655865.688,62504.980,1458385.375,10,10,7
1773845693225,15,0.000000,-8.595932,0.052736,0.009138,15000.0,644385.750,59487.035,1388373.750,10,10,7
1773845693239,15,0.000000,-8.527376,0.032583,0.018791,15000.0,618583.438,55134.605,1278455.750,10,10,8
1773845693263,15,0.000000,-8.485019,-0.014056,0.017771,15000.0,557384.813,49203.375,1424405.750,10,10,7
1773845693280,15,0.000000,-8.503291,-0.022334,0.014059,15000.0,539872.688,43800.727,1638197.750,10,10,7
1773845693303,15,0.000000,-8.532325,-0.047863,0.000213,15000.0,522988.656,41749.809,1877939.250,10,10,7
1773845693327,15,0.000000,-8.594547,0.018538,-0.006627,15000.0,586243.938,21948.307,2130636.750,10,10,9
1773845693344,15,0.000000,-8.570448,0.069336,0.000724,15000.0,610438.438,41019.160,2079347.625,10,10,8
1773845693368,15,0.000000,-8.480311,-0.001834,0.003168,15000.0,596167.563,53255.555,1956762.125,10,10,8
1773845693396,15,0.000000,-8.482697,0.117855,0.031206,15000.0,567998.125,59588.625,1992088.875,10,10,8
1773845693416,15,0.000000,-8.329486,0.069355,0.054650,15000.0,535514.250,59518.465,1948006.125,10,10,7
1773845693420,15,0.000000,-8.239325,0.047503,0.060443,15000.0,501293.531,56142.871,2204104.500,10,10,7
1773845693433,15,0.000000,-8.177570,-0.021224,0.042331,15000.0,475133.813,45977.047,2286446.750,10,10,7
1773845693455,15,0.000000,-8.205162,-0.036757,0.035346,15000.0,442031.406,27906.105,2379747.750,10,10,7
1773845693474,15,0.000000,-8.252946,-0.052661,0.001243,15000.0,418063.750,13698.896,2390400.500,9,9,7
1773845693500,15,0.000000,-8.321404,-0.064207,-0.025469,15000.0,396596.875,17081.115,2188767.750,10,10,8
1773845693524,15,0.000000,-8.404873,0.039803,-0.027009,15000.0,397014.125,9627.033,2029319.500,9,9,8
1773845693542,15,0.000000,-8.353128,0.006277,-0.021509,15000.0,398392.000,21375.160,1901740.875,10,10,9
1773845693560,15,0.000000,-8.344968,0.070053,-0.000147,15000.0,392054.719,16798.920,1663484.125,10,10,8
1773845693585,15,0.000000,-8.253900,0.022693,0.014924,15000.0,389621.781,35364.672,1473463.625,10,10,6
1773845693603,15,0.000000,-8.224399,0.032526,0.034271,15000.0,395706.969,27521.736,1479278.875,10,10,8
1773845693626,15,0.000000,-8.182115,-0.035395,0.019231,15000.0,399995.156,38957.559,1506440.125,10,10,6
1773845693648,15,0.000000,-8.228127,-0.059477,0.006080,15000.0,364482.250,19273.670,1383344.000,10,10,7
1773845693674,15,0.000000,-8.305448,-0.015545,-0.011039,15000.0,359778.563,24534.143,1308562.000,10,10,6
1773845693693,15,0.000000,-8.325656,-0.029601,-0.021498,15000.0,376388.688,22770.305,1412688.875,10,10,9
1773845693710,15,0.000000,-8.364137,-0.016910,-0.031386,15000.0,394353.750,25383.324,1391802.875,10,10,6
1773845693735,15,0.000000,-8.386120,-0.008721,-0.026051,15000.0,402609.188,25901.592,1318693.625,10,10,8
1773845693743,15,0.000000,-8.397457,-0.003618,-0.014879,15000.0,402417.313,28990.070,1271548.500,10,10,6
1773845693755,15,0.000000,-8.402161,-0.042668,-0.020304,15000.0,400540.281,38807.086,1238734.375,10,10,6
1773845693776,15,0.000000,-8.457629,-0.009792,-0.016342,15000.0,418812.781,51565.758,1370065.875,10,10,6
1773845693793,15,0.000000,-8.470359,0.012400,-0.010480,15000.0,437452.594,47674.059,1571190.875,10,10,8
1773845693819,15,0.000000,-8.454239,-0.040388,-0.016813,15000.0,439256.406,43931.238,1630627.125,10,10,7
1773845693852,15,1.000000,-8.506743,-0.013281,-0.018746,15000.0,457147.719,46613.242,1880980.625,10,10,8
1773845693859,15,1.000000,-8.524009,-0.006284,-0.011469,15000.0,447154.406,43272.848,1832368.875,10,10,9
1773845693879,15,1.000000,-8.532178,-0.143296,-0.038170,15000.0,485806.094,59301.816,2077744.750,10,10,8
1773845693903,15,1.000000,-8.718462,-0.068785,-0.054407,15000.0,544629.938,96398.641,2287990.250,10,10,8
1773845693925,15,1.413778,-8.807882,-0.041748,-0.054679,15000.0,604372.563,109151.539,2439900.000,10,10,8
1773845693941,15,1.413778,-8.862154,-0.089797,-0.069982,15000.0,649791.563,95883.047,2475624.750,10,10,8
1773845693962,15,1.413778,-8.978890,-0.200814,-0.108888,15000.0,683941.000,81766.141,2398319.250,10,10,7
1773845693985,15,1.413778,-9.239948,-0.064782,-0.093185,15000.0,697098.688,77636.203,2192625.750,10,10,5
1773845694009,15,1.410241,-9.324164,-0.050271,-0.089482,15000.0,699816.313,76061.930,1993171.375,10,10,6
1773845694030,15,1.410241,-9.389517,-0.056392,-0.092411,15000.0,671254.938,66938.969,1874961.875,10,10,6
1773845694052,15,1.410241,-9.462827,-0.026057,-0.079663,15000.0,670017.813,68973.273,1887291.750,10,10,7
1773845694053,15,1.410241,-9.496701,0.016107,-0.036279,15000.0,681348.563,72170.172,1985083.625,10,10,7
1773845694072,15,1.410241,-9.475761,-0.034520,-0.030227,15000.0,702716.813,73438.172,2130281.750,10,10,7
1773845694095,15,1.393462,-9.520638,-0.012495,-0.022671,15000.0,598290.125,23399.092,1331641.625,10,10,9
1773845694115,15,1.393462,-9.536880,0.003887,-0.010615,15000.0,609146.688,29651.611,1380273.375,10,10,7
1773845694138,15,1.393462,-9.531827,-0.020953,-0.009594,15000.0,633597.250,39277.379,1564368.000,10,10,7
1773845694155,15,1.393462,-9.559066,0.000344,-0.012747,15000.0,658063.938,45386.633,1680078.750,10,10,8
1773845694179,15,1.369728,-9.559066,-0.009972,-0.007838,15000.0,674614.000,59375.934,1677132.375,10,10,8
1773845694198,15,1.369728,-9.572029,-0.022650,-0.009869,15000.0,684611.875,84875.656,1847479.500,10,10,9
1773845694221,15,1.369728,-9.601475,-0.013822,-0.013411,15000.0,697332.000,87041.211,2031616.750,10,10,9
